Year,Rank,Song Title,Artist(s)
10/10/92,96,Jam,Michael Jackson
12/12/92,74,Heal The World,Michael Jackson
12/19/92,62,Heal The World,Michael Jackson
12/26/92,54,Heal The World,Michael Jackson
1/2/93,54,Heal The World,Michael Jackson
1/9/93,54,Heal The World,Michael Jackson
1/16/93,54,Heal The World,Michael Jackson
1/23/93,53,Heal The World,Michael Jackson
1/30/93,52,Heal The World,Michael Jackson
2/6/93,56,Heal The World,Michael Jackson
2/13/93,65,Heal The World,Michael Jackson
2/20/93,54,Heal The World,Michael Jackson
2/27/93,36,Heal The World,Michael Jackson
3/6/93,34,Heal The World,Michael Jackson
3/13/93,28,Heal The World,Michael Jackson
3/20/93,27,Heal The World,Michael Jackson
3/27/93,29,Heal The World,Michael Jackson
4/3/93,32,Heal The World,Michael Jackson
4/10/93,35,Heal The World,Michael Jackson
4/10/93,44,Who Is It,Michael Jackson
4/17/93,33,Who Is It,Michael Jackson
4/17/93,39,Heal The World,Michael Jackson
4/24/93,25,Who Is It,Michael Jackson
4/24/93,42,Heal The World,Michael Jackson
5/1/93,18,Who Is It,Michael Jackson
5/8/93,15,Who Is It,Michael Jackson
5/15/93,14,Who Is It,Michael Jackson
5/22/93,14,Who Is It,Michael Jackson
5/29/93,18,Who Is It,Michael Jackson
6/5/93,21,Who Is It,Michael Jackson
6/12/93,32,Who Is It,Michael Jackson
6/19/93,39,Who Is It,Michael Jackson
6/26/93,50,Who Is It,Michael Jackson
7/3/93,61,Who Is It,Michael Jackson
7/10/93,70,Who Is It,Michael Jackson
7/17/93,63,Will You Be There,Michael Jackson
7/17/93,72,Who Is It,Michael Jackson
7/24/93,45,Will You Be There,Michael Jackson
7/24/93,81,Who Is It,Michael Jackson
7/31/93,36,Will You Be There,Michael Jackson
7/31/93,91,Who Is It,Michael Jackson
8/7/93,27,Will You Be There,Michael Jackson
8/7/93,99,Who Is It,Michael Jackson
8/14/93,24,Will You Be There,Michael Jackson
8/21/93,14,Will You Be There,Michael Jackson
8/28/93,12,Will You Be There,Michael Jackson
9/4/93,8,Will You Be There,Michael Jackson
9/11/93,7,Will You Be There,Michael Jackson
9/18/93,8,Will You Be There,Michael Jackson
9/25/93,7,Will You Be There,Michael Jackson
10/2/93,7,Will You Be There,Michael Jackson
10/9/93,8,Will You Be There,Michael Jackson
10/16/93,17,Will You Be There,Michael Jackson
10/23/93,26,Will You Be There,Michael Jackson
10/30/93,32,Will You Be There,Michael Jackson
11/6/93,40,Will You Be There,Michael Jackson
11/13/93,46,Will You Be There,Michael Jackson
11/20/93,53,Will You Be There,Michael Jackson
11/27/93,60,Will You Be There,Michael Jackson
6/17/95,5,Scream/Childhood,Michael Jackson
6/24/95,6,Scream/Childhood,Michael Jackson
7/1/95,5,Scream/Childhood,Michael Jackson
7/8/95,7,Scream/Childhood,Michael Jackson
7/15/95,6,Scream/Childhood,Michael Jackson
7/22/95,9,Scream/Childhood,Michael Jackson
7/29/95,13,Scream/Childhood,Michael Jackson
